Unnamed: 0,name,F1,F1 Precision,F1 Recall,F1 Threshold,F1 FPPI,mAP,bbox_size_median,bbox_size_std,bbox_size_min,bbox_size_max,num_frames,model
13,leusderheide_20230705_visual_halfres_CPFS7_0310,0.8923076923076924,1.0,0.8055555555555556,0.4,0.0,0.8055555555555554,72.0,123.33935472534743,8.0,630.0068398848,26,/mnt/dl-3/data/leeuwenmcv/general/tyolo/combined_tyolo8m_balanced_02022024_more_hard_training_06022024
14,atr_image_database_01925_0002_cegr_mp4_rescaled_uint8,1.0,1.0,1.0,0.0,0.0,1.0000000000000002,360.0,93.4665715643834,144.0,408.0,10,/mnt/dl-3/data/leeuwenmcv/general/tyolo/combined_tyolo8m_balanced_02022024_more_hard_training_06022024
15,atr_image_database_01925_0012_cegr_mp4_rescaled_uint8,1.0,1.0,1.0,0.36,0.0,1.0000000000000002,688.0,140.23725927473373,432.0,828.0,10,/mnt/dl-3/data/leeuwenmcv/general/tyolo/combined_tyolo8m_balanced_02022024_more_hard_training_06022024
16,atr_image_database_01927_0002_cegr_mp4_rescaled_uint8,1.0,1.0,1.0,0.0,0.0,1.0,250.0,47.56282395129858,140.0,260.0,10,/mnt/dl-3/data/leeuwenmcv/general/tyolo/combined_tyolo8m_balanced_02022024_more_hard_training_06022024
17,mantis_drone_2023_DJI_202309100352_003_wide_hd,0.7690331620737973,0.7708333333333334,0.7672413793103449,0.17,1.375,0.6522946350172564,71.99964,94.2459595629106,10.004000256,545.9999999999999,24,/mnt/dl-3/data/leeuwenmcv/general/tyolo/combined_tyolo8m_balanced_02022024_more_hard_training_06022024
18,drone_detection_dataset_2021_V_DRONE_039,1.0,1.0,1.0,0.0,0.0,0.9999999999999998,8.0,2.667543715421401,8.0,18.0,20,/mnt/dl-3/data/leeuwenmcv/general/tyolo/combined_tyolo8m_balanced_02022024_more_hard_training_06022024
19,drone_detection_dataset_2021_V_DRONE_050,0.9565217391304348,0.9565217391304348,0.9565217391304348,0.0,0.1,0.9368343399880126,19.99864002816,17.599676244783513,7.999488,89.99936,20,/mnt/dl-3/data/leeuwenmcv/general/tyolo/combined_tyolo8m_balanced_02022024_more_hard_training_06022024
20,drone_detection_dataset_2021_V_DRONE_069,0.975609756097561,0.9523809523809524,1.0,0.16,0.05,0.9976190476190476,25.0,14.11515909085125,8.99846406144,56.84765625,20,/mnt/dl-3/data/leeuwenmcv/general/tyolo/combined_tyolo8m_balanced_02022024_more_hard_training_06022024
21,TIE_2023_20230914T153103_basler_halfres,0.9411764705882352,1.0,0.8888888888888888,0.0,0.0,0.8888888888888891,17.36128279475332,23.90332712956573,10.737658607351351,78.448841089709,4,/mnt/dl-3/data/leeuwenmcv/general/tyolo/combined_tyolo8m_balanced_02022024_more_hard_training_06022024
22,TIE_2023_20230914T102858_basler_halfres,0.7692307692307693,1.0,0.625,0.27,0.0,0.625,65.09632662991908,151.40701792316568,20.8312723805681,486.1018388518006,4,/mnt/dl-3/data/leeuwenmcv/general/tyolo/combined_tyolo8m_balanced_02022024_more_hard_training_06022024
23,TIE_2023_20230914T130250_basler_halfres,0.8,1.0,0.6666666666666666,0.0,0.0,0.6666666666666666,16.23420056854392,3.4224080430382835,10.416295867033073,16.44816658083657,3,/mnt/dl-3/data/leeuwenmcv/general/tyolo/combined_tyolo8m_balanced_02022024_more_hard_training_06022024
24,mantis_2023_20230324T163455_crontab_recording_person_windy_sunny_EO_zoom,0.6938681420009222,0.8775510204081632,0.5737704918032787,0.0,0.1621621621621621,0.5621807037704232,18.868494143219426,109.05260409494564,5.482456140350876,861.2426035502959,37,/mnt/dl-3/data/leeuwenmcv/general/tyolo/combined_tyolo8m_balanced_02022024_more_hard_training_06022024
25,leusderheide_20230706_visual_halfres_CPFS7_0333,1.0,1.0,1.0,0.0,0.0,1.0,23.255859375,90.0462660667548,13.020833333333334,382.6530612244899,16,/mnt/dl-3/data/leeuwenmcv/general/tyolo/combined_tyolo8m_balanced_02022024_more_hard_training_06022024
26,leusderheide_20230706_visual_halfres_CPFS7_0334,0.6893939393939394,0.7777777777777778,0.6190476190476191,0.0,0.2105263157894736,0.5714285714285712,19.51963117192148,29.84381198512932,11.574074074074076,132.31492354334424,19,/mnt/dl-3/data/leeuwenmcv/general/tyolo/combined_tyolo8m_balanced_02022024_more_hard_training_06022024
27,leusderheide_20230706_visual_halfres_CPFS7_0332,0.8076079005120702,0.96,0.696969696969697,0.16,0.0526315789473684,0.6933333333333334,18.94921875,95.40112075835673,11.197265625,427.21875,19,/mnt/dl-3/data/leeuwenmcv/general/tyolo/combined_tyolo8m_balanced_02022024_more_hard_training_06022024
28,leusderheide_20230705_visual_halfres_CPFS7_0310,0.8923076923076924,1.0,0.8055555555555556,0.0,0.0,0.8055555555555547,38.16815150842855,54.280012537071066,8.0,311.7774365360933,26,/mnt/dl-3/data/leeuwenmcv/general/tyolo/combined_tyolo8m_balanced_02022024_more_hard_training_06022024
29,atr_image_database_01925_0002_cegr_mp4_rescaled_uint8,1.0,1.0,1.0,0.0,0.0,1.0000000000000002,155.0390625,40.25269341786433,62.015625,175.7109375,10,/mnt/dl-3/data/leeuwenmcv/general/tyolo/combined_tyolo8m_balanced_02022024_more_hard_training_06022024
30,atr_image_database_01925_0012_cegr_mp4_rescaled_uint8,1.0,1.0,1.0,0.0,0.0,1.0000000000000002,296.296875,60.39514779312263,186.046875,356.58984375,10,/mnt/dl-3/data/leeuwenmcv/general/tyolo/combined_tyolo8m_balanced_02022024_more_hard_training_06022024
31,atr_image_database_01927_0002_cegr_mp4_rescaled_uint8,1.0,1.0,1.0,0.0,0.0,1.0,107.666015625,20.48359898683855,60.29296875,111.97265625,10,/mnt/dl-3/data/leeuwenmcv/general/tyolo/combined_tyolo8m_balanced_02022024_more_hard_training_06022024
32,mantis_drone_2023_DJI_202309100352_003_wide_hd,0.7877601716285897,0.8582089552238806,0.728,0.0,0.4634146341463415,0.6691676478182592,44.0,32.70166135973399,10.004000256,160.0,41,/mnt/dl-3/data/leeuwenmcv/general/tyolo/combined_tyolo8m_balanced_02022024_more_hard_training_06022024
33,rotterdam_harbour_20210308_jai20000_quart,0.8569310251491651,0.9641693811074918,0.7711598746081505,0.0,0.1182795698924731,0.7631577588753365,201.875,979.876665907214,5.0,11142.0,93,/mnt/dl-3/data/leeuwenmcv/general/tyolo/combined_tyolo8m_balanced_02022024_more_hard_training_06022024
34,drone_detection_dataset_2021_IR_DRONE_151,1.0,1.0,1.0,0.0,0.0,1.0,9.0,1.9594574974238472,9.0,16.0,20,/mnt/dl-3/data/leeuwenmcv/general/tyolo/combined_tyolo8m_balanced_02022024_more_hard_training_06022024
