Unnamed: 0,model,recall,precision,model_name,model_type
773,multi-frame-no-mist-aug,0.73,0.9434191095740008,no-mist-aug,multi-frame
774,multi-frame-no-mist-aug,0.74,0.9383237263943786,no-mist-aug,multi-frame
775,multi-frame-no-mist-aug,0.75,0.9332283432147562,no-mist-aug,multi-frame
776,multi-frame-no-mist-aug,0.76,0.926970588235294,no-mist-aug,multi-frame
777,multi-frame-no-mist-aug,0.77,0.9202680481283422,no-mist-aug,multi-frame
778,multi-frame-no-mist-aug,0.78,0.9135655080213904,no-mist-aug,multi-frame
779,multi-frame-no-mist-aug,0.79,0.9068629679144384,no-mist-aug,multi-frame
780,multi-frame-no-mist-aug,0.8,0.9001604278074866,no-mist-aug,multi-frame
781,multi-frame-no-mist-aug,0.81,0.8934578877005347,no-mist-aug,multi-frame
782,multi-frame-no-mist-aug,0.8200000000000001,0.8867553475935829,no-mist-aug,multi-frame
783,multi-frame-no-mist-aug,0.8300000000000001,0.0,no-mist-aug,multi-frame
784,multi-frame-no-mist-aug,0.84,0.0,no-mist-aug,multi-frame
785,multi-frame-no-mist-aug,0.85,0.0,no-mist-aug,multi-frame
786,multi-frame-no-mist-aug,0.86,0.0,no-mist-aug,multi-frame
787,multi-frame-no-mist-aug,0.87,0.0,no-mist-aug,multi-frame
788,multi-frame-no-mist-aug,0.88,0.0,no-mist-aug,multi-frame
789,multi-frame-no-mist-aug,0.89,0.0,no-mist-aug,multi-frame
790,multi-frame-no-mist-aug,0.9,0.0,no-mist-aug,multi-frame
791,multi-frame-no-mist-aug,0.91,0.0,no-mist-aug,multi-frame
792,multi-frame-no-mist-aug,0.92,0.0,no-mist-aug,multi-frame
793,multi-frame-no-mist-aug,0.93,0.0,no-mist-aug,multi-frame
794,multi-frame-no-mist-aug,0.94,0.0,no-mist-aug,multi-frame
795,multi-frame-no-mist-aug,0.95,0.0,no-mist-aug,multi-frame
796,multi-frame-no-mist-aug,0.96,0.0,no-mist-aug,multi-frame
797,multi-frame-no-mist-aug,0.97,0.0,no-mist-aug,multi-frame
798,multi-frame-no-mist-aug,0.98,0.0,no-mist-aug,multi-frame
799,multi-frame-no-mist-aug,0.99,0.0,no-mist-aug,multi-frame
600,multi-frame-simple-mist-aug,0.0,1.0,simple-mist-aug,multi-frame
601,multi-frame-simple-mist-aug,0.01,1.0,simple-mist-aug,multi-frame
602,multi-frame-simple-mist-aug,0.02,1.0,simple-mist-aug,multi-frame
603,multi-frame-simple-mist-aug,0.03,1.0,simple-mist-aug,multi-frame
604,multi-frame-simple-mist-aug,0.04,1.0,simple-mist-aug,multi-frame
605,multi-frame-simple-mist-aug,0.05,1.0,simple-mist-aug,multi-frame
606,multi-frame-simple-mist-aug,0.06,1.0,simple-mist-aug,multi-frame
607,multi-frame-simple-mist-aug,0.07,1.0,simple-mist-aug,multi-frame
608,multi-frame-simple-mist-aug,0.08,1.0,simple-mist-aug,multi-frame
609,multi-frame-simple-mist-aug,0.09,1.0,simple-mist-aug,multi-frame
610,multi-frame-simple-mist-aug,0.1,1.0,simple-mist-aug,multi-frame
611,multi-frame-simple-mist-aug,0.11,1.0,simple-mist-aug,multi-frame
612,multi-frame-simple-mist-aug,0.12,1.0,simple-mist-aug,multi-frame
613,multi-frame-simple-mist-aug,0.13,1.0,simple-mist-aug,multi-frame
